-5.49,-7.15,7.79,-0.36,-0.08,-0.92,-0.11,0.08,-0.10
-5.56,-7.24,7.88,-0.36,-0.08,-0.92,-0.11,0.08,-0.10
-5.63,-7.33,7.97,-0.36,-0.08,-0.92,-0.11,0.08,-0.10
-5.70,-7.42,8.05,-0.36,-0.08,-0.92,-0.11,0.09,-0.10
-5.76,-7.51,8.14,-0.36,-0.08,-0.92,-0.11,0.09,-0.10
-5.83,-7.60,8.23,-0.36,-0.08,-0.92,-0.11,0.09,-0.10
-5.90,-7.70,8.32,-0.36,-0.08,-0.92,-0.11,0.08,-0.10
-5.97,-7.79,8.41,-0.36,-0.08,-0.92,-0.11,0.09,-0.10
-6.04,-7.88,8.50,-0.36,-0.08,-0.92,-0.11,0.08,-0.10
-6.10,-7.97,8.59,-0.36,-0.08,-0.92,-0.11,0.08,-0.10
time:1004	
-6.145137,-8.029564,8.637979
-6.17,-8.07,8.67,-0.36,-0.08,-0.92,-0.11,0.08,-0.10
-6.24,-8.16,8.76,-0.36,-0.08,-0.92,-0.11,0.08,-0.10
-6.31,-8.25,8.85,-0.36,-0.08,-0.92,-0.11,0.08,-0.10
-6.38,-8.35,8.93,-0.36,-0.08,-0.92,-0.11,0.08,-0.10
-6.45,-8.44,9.02,-0.36,-0.08,-0.92,-0.11,0.08,-0.10
-6.52,-8.53,9.11,-0.36,-0.08,-0.92,-0.11,0.08,-0.10
-6.59,-8.63,9.20,-0.36,-0.08,-0.92,-0.11,0.09,-0.10
-6.66,-8.72,9.29,-0.36,-0.08,-0.92,-0.11,0.08,-0.10
-6.73,-8.82,9.38,-0.36,-0.08,-0.92,-0.11,0.09,-0.10
